Epoch 192: traj avg_rew -167.47603939908777, avg_traj_len 250.0
Epoch 193: traj avg_rew -153.6888164694386, avg_traj_len 235.2941176470588
Epoch 194: traj avg_rew -149.378560471281, avg_traj_len 250.0
Epoch 195: traj avg_rew -160.02112152669116, avg_traj_len 235.2941176470588
Epoch 196: traj avg_rew -191.6026675941335, avg_traj_len 266.6666666666667
Epoch 197: traj avg_rew -147.0601017682146, avg_traj_len 235.2941176470588
Epoch 198: traj avg_rew -138.38624650107778, avg_traj_len 250.0
Epoch 199: traj avg_rew -149.66684860853576, avg_traj_len 222.22222222222223
Epoch 200: traj avg_rew -162.86625037679713, avg_traj_len 235.2941176470588
Epoch 201: traj avg_rew -176.44039158175258, avg_traj_len 235.2941176470588
Epoch 202: traj avg_rew -156.92986798361352, avg_traj_len 222.22222222222223
Epoch 203: traj avg_rew -157.16181137811043, avg_traj_len 200.0
Epoch 204: traj avg_rew -146.78733039920695, avg_traj_len 235.2941176470588
Epoch 205: traj avg_rew -169.01766187926356, avg_traj_len 266.6666666666667
Epoch 206: traj avg_rew -142.00410140443438, avg_traj_len 235.2941176470588
Epoch 207: traj avg_rew -166.05950950504786, avg_traj_len 250.0
Epoch 208: traj avg_rew -148.4411260951489, avg_traj_len 222.22222222222223
Epoch 209: traj avg_rew -164.92028875012005, avg_traj_len 222.22222222222223
Epoch 210: traj avg_rew -170.4542233187432, avg_traj_len 250.0
Epoch 211: traj avg_rew -192.4944061016566, avg_traj_len 266.6666666666667
Epoch 212: traj avg_rew -130.0187484323466, avg_traj_len 235.2941176470588
Epoch 213: traj avg_rew -158.2411423987051, avg_traj_len 222.22222222222223
Epoch 214: traj avg_rew -168.5648823711569, avg_traj_len 235.2941176470588
Epoch 215: traj avg_rew -169.84798309900913, avg_traj_len 266.6666666666667
Epoch 216: traj avg_rew -139.24321281775602, avg_traj_len 190.47619047619048
Epoch 217: traj avg_rew -147.67104437146574, avg_traj_len 210.52631578947367
Epoch 218: traj avg_rew -162.37294513707403, avg_traj_len 250.0
Epoch 219: traj avg_rew -142.88156000408776, avg_traj_len 210.52631578947367
Epoch 220: traj avg_rew -158.8223323304794, avg_traj_len 210.52631578947367
Epoch 221: traj avg_rew -150.96088294507982, avg_traj_len 250.0
Epoch 222: traj avg_rew -182.69734752685554, avg_traj_len 307.6923076923077
Epoch 223: traj avg_rew -166.95323594155388, avg_traj_len 235.2941176470588
Epoch 224: traj avg_rew -159.98343288790878, avg_traj_len 250.0
Epoch 225: traj avg_rew -172.33408221724113, avg_traj_len 285.7142857142857
